Address,Short Address,BTC,USD Value,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Days Since First In,Days Since Last In,Days Since Last Out,Address Type,Txs Difference,Days Out Minus In,HODL_Days,Age Band
"1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGDBalance:5,869 BTC ($484,311,428) Ins:88 Outs:0",1DDWbJhK,5869.0,484311428.0,0.02959,2021-02-05 11:33:31+00:00,2025-01-27 18:29:28+00:00,88,,,0,1494,42,,Legacy,88,,1494,3 years - 5 years
"1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1gwallet: BitfinexBalance:5,856 BTC ($483,226,012) Ins:442825 Outs:442820",1Kr6QSyd,5856.0,483226012.0,0.02953,2016-08-10 14:04:31+00:00,2025-03-10 06:46:15+00:00,442825,2016-08-10 16:30:50+00:00,2025-03-10 05:55:19+00:00,442820,3134,0,0.0,Legacy,5,0.0,0,24hr
"3L41yRzWATBFS3TSHGxFAJiTxahB94MpcQ 2-of-3wallet: SBI-VC-coldwalletBalance:5,787 BTC ($477,525,418) Ins:1607 Outs:1570",3L41yRzW,5787.0,477525418.0,0.02918,2019-05-31 08:49:43+00:00,2025-03-10 03:15:38+00:00,1607,2019-05-31 17:30:26+00:00,2025-03-10 03:15:38+00:00,1570,2110,0,0.0,SegWit,37,0.0,0,24hr
"1NBX1UZE3EFPTnYNkDfVhRADvVc8v6pRYuBalance:5,773 BTC ($476,325,233) Ins:43 Outs:26",1NBX1UZE,5773.0,476325233.0,0.0291,2019-11-01 19:09:34+00:00,2025-01-28 07:26:42+00:00,43,2019-11-01 23:25:19+00:00,2025-01-22 14:57:17+00:00,26,1956,41,47.0,Legacy,17,6.0,47,1 month - 3 months
"13n67sFKgqLDKp8gx8Xvm6scdfY4ZeaU8pBalance:5,700 BTC ($470,340,276) Ins:49 Outs:8",13n67sFK,5700.0,470340276.0,0.02874,2017-09-21 16:00:01+00:00,2025-01-28 07:27:07+00:00,49,2017-11-24 06:31:19+00:00,2019-10-24 06:13:57+00:00,8,2727,41,1964.0,Legacy,41,1923.0,1964,5 years - 7 years
"1KN4cw6kczLshsFdsPJNP538eLu6j8UVQgBalance:5,697 BTC ($470,122,696) Ins:3 Outs:0",1KN4cw6k,5697.0,470122696.0,0.02873,2025-01-15 02:24:56+00:00,2025-01-31 00:17:23+00:00,3,,,0,54,38,,Legacy,3,,54,1 month - 3 months
"1EF3T11bL7yua2yJo4waaQ3RgewNwRnKMwBalance:5,696 BTC ($470,033,384) Ins:90 Outs:0",1EF3T11b,5696.0,470033384.0,0.02872,2021-02-05 13:25:02+00:00,2025-01-28 02:11:50+00:00,90,,,0,1494,41,,Legacy,90,,1494,3 years - 5 years
"bc1q8urxlm2uye3t6nwg0y44sn32p0ynvefxpqseu4wallet: 98590549Balance:5,663 BTC ($467,299,078) Ins:2039 Outs:1976",bc1q8urx,5663.0,467299078.0,0.02855,2023-06-02 09:50:50+00:00,2025-03-09 23:24:48+00:00,2039,2023-06-16 05:55:17+00:00,2025-03-06 13:25:21+00:00,1976,647,1,4.0,Bech32,63,3.0,4,1 day - 1 week
"bc1q0lfp0nn9z9r370rhmp27xsmf3khwtranuegp9kBalance:5,628 BTC ($464,351,921) Ins:52 Outs:47",bc1q0lfp,5628.0,464351921.0,0.02837,2024-10-07 18:07:26+00:00,2025-02-27 17:15:02+00:00,52,2024-10-08 07:04:44+00:00,2025-02-27 17:15:02+00:00,47,154,11,11.0,Bech32,5,0.0,11,1 week - 1 month
"15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGzaBalance:5,610 BTC ($462,880,049) Ins:90 Outs:0",15SGg7Pp,5610.0,462880049.0,0.02828,2021-02-22 16:45:59+00:00,2025-01-28 03:11:55+00:00,90,,,0,1477,41,,Legacy,90,,1477,3 years - 5 years
"1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8DBalance:5,600 BTC ($462,107,894) Ins:93 Outs:0",1Cw9Kyr8,5600.0,462107894.0,0.02824,2021-02-09 00:28:24+00:00,2025-01-28 07:27:07+00:00,93,,,0,1490,41,,Legacy,93,,1490,3 years - 5 years
"1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNtBalance:5,600 BTC ($462,081,939) Ins:26 Outs:0",1DR93bfK,5600.0,462081939.0,0.02823,2017-10-06 18:06:13+00:00,2024-12-28 02:37:19+00:00,26,,,0,2712,72,,Legacy,26,,2712,7 years - 10 years
"1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqMBalance:5,598 BTC ($461,952,988) Ins:93 Outs:0",1AwimXdG,5598.0,461952988.0,0.02823,2021-02-17 04:51:00+00:00,2025-01-27 05:13:01+00:00,93,,,0,1482,42,,Legacy,93,,1482,3 years - 5 years
"1FUpBduq45UfULPACj1Phw9hRvwroJqYUXBalance:5,598 BTC ($461,952,988) Ins:90 Outs:0",1FUpBduq,5598.0,461952988.0,0.02823,2021-02-17 21:22:10+00:00,2025-01-28 07:26:42+00:00,90,,,0,1482,41,,Legacy,90,,1482,3 years - 5 years
"1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeuBalance:5,598 BTC ($461,952,986) Ins:87 Outs:0",1GuLYGgr,5598.0,461952986.0,0.02823,2021-02-19 19:18:29+00:00,2025-01-28 07:26:42+00:00,87,,,0,1480,41,,Legacy,87,,1480,3 years - 5 years
"152BK6BQa672Dy8PHf4JQtS27pBRBiYy6eBalance:5,598 BTC ($461,952,985) Ins:92 Outs:0",152BK6BQ,5598.0,461952985.0,0.02823,2021-02-20 18:04:41+00:00,2025-01-27 18:29:28+00:00,92,,,0,1479,42,,Legacy,92,,1479,3 years - 5 years
"1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383WBalance:5,598 BTC ($461,952,985) Ins:83 Outs:0",1Ly9nQEy,5598.0,461952985.0,0.02823,2021-02-22 06:17:28+00:00,2025-01-27 18:29:28+00:00,83,,,0,1477,42,,Legacy,83,,1477,3 years - 5 years
"154sxXJekWHQ5nPxkkaWnMghy4o9qWaNdUBalance:5,598 BTC ($461,952,985) Ins:86 Outs:0",154sxXJe,5598.0,461952985.0,0.02823,2021-02-22 06:27:25+00:00,2025-01-28 01:14:50+00:00,86,,,0,1477,41,,Legacy,86,,1477,3 years - 5 years
"1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvDBalance:5,598 BTC ($461,952,985) Ins:85 Outs:0",1Gc6ggvq,5598.0,461952985.0,0.02823,2021-02-20 01:01:18+00:00,2025-01-28 07:27:07+00:00,85,,,0,1479,41,,Legacy,85,,1479,3 years - 5 years
"1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8nBalance:5,595 BTC ($461,696,019) Ins:23 Outs:0",1CCqLR8Y,5595.0,461696019.0,0.02821,2018-02-08 07:48:35+00:00,2024-12-28 10:43:31+00:00,23,,,0,2587,72,,Legacy,23,,2587,7 years - 10 years
"1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8Balance:5,578 BTC ($460,300,258) Ins:86 Outs:0",1D387jd5,5578.0,460300258.0,0.02813,2021-02-23 09:06:11+00:00,2025-01-28 07:27:07+00:00,86,,,0,1476,41,,Legacy,86,,1476,3 years - 5 years
"bc1q4mcyastjs4k9gfzrsua4l8mxy393d53a6nnd4rBalance:5,547 BTC ($457,722,135) Ins:720 Outs:362",bc1q4mcy,5547.0,457722135.0,0.02797,2022-03-28 09:31:59+00:00,2025-01-26 16:28:38+00:00,720,2024-03-12 10:35:14+00:00,2024-03-14 11:47:19+00:00,362,1078,43,361.0,Bech32,358,318.0,361,6 months - 12 months
"3M3EtJGx5Dy9nCATLDhyRCrKGc38QC9z2eBalance:5,535 BTC ($456,745,263) Ins:5 Outs:0",3M3EtJGx,5535.0,456745263.0,0.02791,2024-11-19 20:00:55+00:00,2025-02-05 01:52:40+00:00,5,,,0,111,33,,SegWit,5,,111,3 months - 6 months
"18DowXoMUQT5EU8zPTDTrq4hrwmi8ddCccwallet: SwissBorgBalance:5,528 BTC ($456,125,937) Ins:2112 Outs:2069",18DowXoM,5528.0,456125937.0,0.02787,2021-12-01 14:51:49+00:00,2025-03-09 19:13:06+00:00,2112,2021-12-02 11:57:52+00:00,2025-03-10 04:24:06+00:00,2069,1195,1,0.0,Legacy,43,-1.0,0,24hr
"bc1quv866t7ke929gxttpgc2u30ffnczpgfrjugwxvBalance:5,500 BTC ($453,830,513) Ins:10 Outs:0",bc1quv86,5500.0,453830513.0,0.02773,2021-01-13 14:47:30+00:00,2024-12-28 10:43:31+00:00,10,,,0,1517,72,,Bech32,10,,1517,3 years - 5 years
"31vGTThPybgTLC2k2DLZjBoYYnMNAXYdhxBalance:5,380 BTC ($443,940,355) Ins:1 Outs:0",31vGTThP,5380.0,443940355.0,0.02713,2025-02-03 19:54:05+00:00,2025-02-03 19:54:05+00:00,1,,,0,35,35,,SegWit,1,,35,1 month - 3 months
"bc1qf6vc30jjmgkrayazenc8kxdatqg28jd0qhcvwcBalance:5,319 BTC ($438,855,423) Ins:21 Outs:20",bc1qf6vc,5319.0,438855423.0,0.02681,2024-11-27 20:25:33+00:00,2025-03-05 20:12:24+00:00,21,2024-12-04 01:40:06+00:00,2025-03-05 20:12:24+00:00,20,103,5,5.0,Bech32,1,0.0,5,1 day - 1 week
"34X3kp5PTrqR9dA9Zf9XwivpE6tnNJdHKB 2-of-3wallet: SBI-VC-coldwalletBalance:5,312 BTC ($438,292,767) Ins:2810 Outs:2391",34X3kp5P,5312.0,438292767.0,0.02678,2019-04-26 10:17:35+00:00,2025-03-10 06:28:31+00:00,2810,2019-05-31 08:49:43+00:00,2025-03-10 03:15:38+00:00,2391,2145,0,0.0,SegWit,419,0.0,0,24hr
"3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M 2-of-3wallet: gate.io-coldwalletBalance:5,285 BTC ($436,119,756) Ins:170 Outs:99",3HroDXv8,5285.0,436119756.0,0.02665,2019-05-12 21:41:50+00:00,2025-03-09 03:57:31+00:00,170,2019-05-12 21:59:33+00:00,2022-11-13 16:14:23+00:00,99,2129,1,848.0,SegWit,71,847.0,848,2 years - 3 years
"bc1q2f0tczgrukdxjrhhadpft2fehzpcrwrz549u90Balance:5,231 BTC ($431,663,523) Ins:35174 Outs:34982",bc1q2f0t,5231.0,431663523.0,0.02638,2022-05-19 18:40:28+00:00,2025-03-10 06:46:15+00:00,35174,2022-05-19 19:36:59+00:00,2025-03-09 18:34:35+00:00,34982,1026,0,1.0,Bech32,192,1.0,1,24hr
"bc1qc45h5yduv0cp8w6jv6rafs0g2say65rnn268jt3vlk6x3hg9u7kqvh..3xk7Balance:5,212 BTC ($430,066,249) Ins:5 Outs:2",bc1qc45h,5212.0,430066249.0,0.02628,2023-10-11 15:31:49+00:00,2024-12-28 10:43:31+00:00,5,2024-11-21 19:16:02+00:00,2024-11-21 19:16:02+00:00,2,516,72,109.0,Bech32,3,37.0,109,3 months - 6 months
"bc1qlrf750tfxsm8j5uu484lfywam3ffjrvmcvyr3aBalance:5,200 BTC ($429,075,990) Ins:1 Outs:0",bc1qlrf7,5200.0,429075990.0,0.02622,2025-01-23 20:07:51+00:00,2025-01-23 20:07:51+00:00,1,,,0,46,46,,Bech32,1,,46,1 month - 3 months
"1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72pBalance:5,195 BTC ($428,687,283) Ins:53858 Outs:53799",1KNm4K8G,5195.0,428687283.0,0.02619,2021-12-20 21:24:15+00:00,2025-03-10 06:46:15+00:00,53858,2021-12-28 19:55:02+00:00,2025-03-10 06:46:15+00:00,53799,1176,0,0.0,Legacy,59,0.0,0,24hr
"1BVtDi7txPCG2TH5Crd2Rw5MtpivbmoKgBwallet: 111539946Balance:5,186 BTC ($427,898,764) Ins:26 Outs:1",1BVtDi7t,5186.0,427898764.0,0.02615,2017-06-12 20:43:56+00:00,2025-01-27 14:15:16+00:00,26,2025-03-01 17:07:02+00:00,2025-03-01 17:07:02+00:00,1,2828,42,9.0,Legacy,25,-33.0,9,1 week - 1 month
"bc1qtmhy4putlcmlm32y42s0xq8m6z3clx9yse2g0rBalance:5,169 BTC ($426,523,704) Ins:60 Outs:56",bc1qtmhy,5169.0,426523704.0,0.02606,2024-06-05 00:51:49+00:00,2025-03-04 22:38:06+00:00,60,2024-08-05 02:10:20+00:00,2025-03-04 04:19:45+00:00,56,278,6,6.0,Bech32,4,0.0,6,1 day - 1 week
"bc1qq4h5pmydtvw8rsxttmxd8rxkx0rl420fq83y34Balance:5,157 BTC ($425,533,832) Ins:92 Outs:80",bc1qq4h5,5157.0,425533832.0,0.026,2024-12-24 15:00:15+00:00,2025-03-06 22:50:18+00:00,92,2024-12-25 11:26:05+00:00,2025-02-24 09:42:10+00:00,80,76,4,14.0,Bech32,12,10.0,14,1 week - 1 month
"394BAk5Vae7B7AdzpzVx43Zx4uVBpAqRk7 30d:+5149 BTCBalance:5,149 BTC ($424,867,369) Ins:1 Outs:0",394BAk5V,5149.0,424867369.0,0.02596,2025-02-26 09:56:02+00:00,2025-02-26 09:56:02+00:00,1,,,0,12,12,,SegWit,1,,12,1 week - 1 month
"3LLkjCcLEC5N2RSBk5r4jwnwBZ69xY2PXqBalance:5,109 BTC ($421,549,480) Ins:3 Outs:0",3LLkjCcL,5109.0,421549480.0,0.02576,2024-12-11 22:00:00+00:00,2024-12-28 10:43:31+00:00,3,,,0,89,72,,SegWit,3,,89,1 month - 3 months
"bc1qjav0ce3rc5n6espfjndrxck4s44sv66nagccsfqgu7yvwh539nlq6m..yyadBalance:5,100 BTC ($420,824,455) Ins:53 Outs:49",bc1qjav0,5100.0,420824455.0,0.02571,2021-10-27 09:00:56+00:00,2025-02-28 10:04:10+00:00,53,2021-12-13 19:16:09+00:00,2025-02-11 18:02:45+00:00,49,1230,10,27.0,Bech32,4,17.0,27,1 week - 1 month
"bc1qv007mjtgmyvyqlwyv5nqk54gr8ekteknhur6fr 30d:+5090 BTCBalance:5,090 BTC ($420,022,934) Ins:7 Outs:3",bc1qv007,5090.0,420022934.0,0.02566,2025-02-26 19:47:49+00:00,2025-02-28 18:14:33+00:00,7,2025-02-26 21:58:21+00:00,2025-02-27 22:18:31+00:00,3,12,10,11.0,Bech32,4,1.0,11,1 week - 1 month
"1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtCwallet: 7507428Balance:5,075 BTC ($418,761,921) Ins:122 Outs:6",1BeouDc6,5075.0,418761921.0,0.02559,2014-02-21 02:04:52+00:00,2025-01-28 03:11:55+00:00,122,2014-11-08 17:23:04+00:00,2014-11-08 17:23:04+00:00,6,4035,41,3775.0,Legacy,116,3734.0,3775,+10 years
"12d1e4x5oprNf7au7BrTryx5D5mGCrXLY5Balance:5,000 BTC ($412,590,565) Ins:24 Outs:6",12d1e4x5,5000.0,412590565.0,0.02521,2023-08-18 09:26:07+00:00,2025-02-01 20:01:31+00:00,24,2024-04-03 22:54:04+00:00,2025-01-17 02:43:44+00:00,6,570,37,52.0,Legacy,18,15.0,52,1 month - 3 months
"34iPiWYZyn3d99WgiSzF5UPsir7ix3j4XeBalance:5,000 BTC ($412,581,443) Ins:3 Outs:0",34iPiWYZ,5000.0,412581443.0,0.02521,2024-12-13 07:14:02+00:00,2024-12-28 10:43:31+00:00,3,,,0,87,72,,SegWit,3,,87,1 month - 3 months
"1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQSBalance:5,000 BTC ($412,574,816) Ins:32 Outs:0",1ARWCREn,5000.0,412574816.0,0.02521,2011-05-17 14:09:56+00:00,2024-12-28 10:43:31+00:00,32,,,0,5046,72,,Legacy,32,,5046,+10 years
"1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9Balance:5,000 BTC ($412,573,372) Ins:35 Outs:0",1DaCQDfS,5000.0,412573372.0,0.02521,2014-04-16 17:27:15+00:00,2025-01-27 05:29:42+00:00,35,,,0,3981,42,,Legacy,35,,3981,+10 years
"16Jka2DrvEGGJ6ks2kXRpxmQZLQmAFRoGkBalance:5,000 BTC ($412,573,356) Ins:17 Outs:0",16Jka2Dr,5000.0,412573356.0,0.02521,2019-05-29 12:54:22+00:00,2024-12-28 12:21:32+00:00,17,,,0,2112,72,,Legacy,17,,2112,5 years - 7 years
"19z6WynrjHeD5MMv6919BuQRwybuen1sRvBalance:5,000 BTC ($412,573,322) Ins:32 Outs:0",19z6Wynr,5000.0,412573322.0,0.02521,2014-04-16 18:07:07+00:00,2024-12-28 12:21:32+00:00,32,,,0,3981,72,,Legacy,32,,3981,+10 years
"1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhRBalance:5,000 BTC ($412,573,322) Ins:32 Outs:0",1NQEV6T4,5000.0,412573322.0,0.02521,2014-04-16 17:53:08+00:00,2024-12-28 12:21:32+00:00,32,,,0,3981,72,,Legacy,32,,3981,+10 years
"1NJQZhzYac89fDhQCmb1khdjekKNVYLFMYBalance:5,000 BTC ($412,573,321) Ins:31 Outs:0",1NJQZhzY,5000.0,412573321.0,0.02521,2014-04-16 17:45:14+00:00,2024-12-28 12:21:32+00:00,31,,,0,3981,72,,Legacy,31,,3981,+10 years
"12ytiN9oWQTRGb6JjZiaoWMAvF9nPWdGX1Balance:5,000 BTC ($412,573,287) Ins:26 Outs:0",12ytiN9o,5000.0,412573287.0,0.02521,2017-07-29 03:39:12+00:00,2024-12-28 12:21:32+00:00,26,,,0,2781,72,,Legacy,26,,2781,7 years - 10 years
"1LnoZawVFFQihU8d8ntxLMpYheZUfyeVAKwallet: OKXBalance:5,000 BTC ($412,573,270) Ins:59 Outs:2",1LnoZawV,5000.0,412573270.0,0.02521,2020-01-18 06:10:51+00:00,2025-02-16 11:00:14+00:00,59,2024-12-19 08:39:31+00:00,2024-12-19 08:39:31+00:00,2,1878,22,81.0,Legacy,57,59.0,81,1 month - 3 months
"bc1q2we5eqjj8je6lz9xwjattpc3pn4jejc5h0s70fBalance:4,999 BTC ($412,490,759) Ins:4 Outs:1",bc1q2we5,4999.0,412490759.0,0.0252,2023-03-05 16:52:23+00:00,2024-12-28 12:21:32+00:00,4,2023-03-05 16:52:23+00:00,2023-03-05 16:52:23+00:00,1,736,72,736.0,Bech32,3,664.0,736,2 years - 3 years
"bc1qeth6n6ryxexvkx34wnx3nuynun4474h3j0gkhwBalance:4,999 BTC ($412,490,677) Ins:4 Outs:1",bc1qeth6,4999.0,412490677.0,0.0252,2023-03-05 13:46:20+00:00,2024-12-28 12:43:28+00:00,4,2023-03-05 13:54:07+00:00,2023-03-05 13:54:07+00:00,1,736,72,736.0,Bech32,3,664.0,736,2 years - 3 years
"bc1ps4xh9n9688jjlczas846kq64mxnhp8e5aradpcpuj852dvhmpzkqs5..7a3gBalance:4,999 BTC ($412,490,677) Ins:3 Outs:0",bc1ps4xh,4999.0,412490677.0,0.0252,2024-12-15 09:29:11+00:00,2024-12-28 12:43:28+00:00,3,,,0,85,72,,Taproot,3,,85,1 month - 3 months
"bc1qpp3v9k4g5hqjfztextp5nn9808lcru9j8m4n2pBalance:4,999 BTC ($412,490,677) Ins:4 Outs:1",bc1qpp3v,4999.0,412490677.0,0.0252,2023-03-05 15:47:17+00:00,2024-12-28 12:43:28+00:00,4,2023-03-05 16:05:14+00:00,2023-03-05 16:05:14+00:00,1,736,72,736.0,Bech32,3,664.0,736,2 years - 3 years
"12GQSEPmoCiw7zrWJbsYa5SD3hkKPSzyAqBalance:4,995 BTC ($412,185,978) Ins:87 Outs:0",12GQSEPm,4995.0,412185978.0,0.02519,2021-02-23 10:21:34+00:00,2025-01-27 14:15:16+00:00,87,,,0,1476,42,,Legacy,87,,1476,3 years - 5 years
"14f3x5v48f7b7QN6Lqt56Fg8jBQ7nVn26NBalance:4,989 BTC ($411,664,871) Ins:2 Outs:0",14f3x5v4,4989.0,411664871.0,0.02515,2023-07-21 09:11:53+00:00,2024-12-28 12:43:28+00:00,2,,,0,598,72,,Legacy,2,,598,1 year - 2 years
"bc1qu0gedsrw3axk37avmnahp2c7rszkeu6f9fx6shxg4plew8as825qm7..7x6ewallet: 110892658Balance:4,980 BTC ($410,922,898) Ins:4 Outs:2",bc1qu0ge,4980.0,410922898.0,0.02511,2025-01-27 03:52:34+00:00,2025-02-12 05:06:13+00:00,4,2025-01-28 00:51:50+00:00,2025-01-31 00:50:21+00:00,2,42,26,38.0,Bech32,2,12.0,38,1 month - 3 months
"1Cm9ugUjEUyMvjB3uWxESapa861uEtcVycBalance:4,975 BTC ($410,518,868) Ins:89 Outs:0",1Cm9ugUj,4975.0,410518868.0,0.02508,2021-02-23 22:25:49+00:00,2025-01-27 18:29:28+00:00,89,,,0,1476,42,,Legacy,89,,1476,3 years - 5 years
"1ZK5rrghS3Uhnra64LiuZVupa6WTSuPfFBalance:4,968 BTC ($409,903,501) Ins:88 Outs:0",1ZK5rrgh,4968.0,409903501.0,0.02505,2021-02-24 10:07:34+00:00,2025-01-28 03:23:14+00:00,88,,,0,1475,41,,Legacy,88,,1475,3 years - 5 years
"15n6GcFRFm3287FotAWunZe58D9yXx13ABBalance:4,938 BTC ($407,460,744) Ins:89 Outs:0",15n6GcFR,4938.0,407460744.0,0.0249,2021-02-25 02:45:55+00:00,2025-01-28 07:26:42+00:00,89,,,0,1474,41,,Legacy,89,,1474,3 years - 5 years
"1G6KK2j1C7DAsPmQ6joZpAY4gN84z5Te4EBalance:4,938 BTC ($407,460,742) Ins:80 Outs:0",1G6KK2j1,4938.0,407460742.0,0.0249,2021-02-25 02:45:55+00:00,2025-01-28 07:26:42+00:00,80,,,0,1474,41,,Legacy,80,,1474,3 years - 5 years
"1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcUBalance:4,902 BTC ($404,518,922) Ins:78 Outs:0",1CY3uBdj,4902.0,404518922.0,0.02472,2021-02-25 04:07:35+00:00,2025-01-27 18:23:59+00:00,78,,,0,1474,42,,Legacy,78,,1474,3 years - 5 years
"1Ms4LPLVYWCyYTAqBcotXAeizHgE778abEBalance:4,902 BTC ($404,518,904) Ins:81 Outs:0",1Ms4LPLV,4902.0,404518904.0,0.02472,2021-02-25 04:01:02+00:00,2025-01-28 00:55:25+00:00,81,,,0,1474,41,,Legacy,81,,1474,3 years - 5 years
"1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTXBalance:4,902 BTC ($404,518,904) Ins:75 Outs:0",1PPWcRj9,4902.0,404518904.0,0.02472,2021-02-25 04:07:35+00:00,2025-01-28 02:55:56+00:00,75,,,0,1474,41,,Legacy,75,,1474,3 years - 5 years
"1Btud1pqADgGzgBCZzxzc2b1o1ytk1HYWCBalance:4,900 BTC ($404,322,376) Ins:26 Outs:0",1Btud1pq,4900.0,404322376.0,0.0247,2017-06-13 07:58:25+00:00,2024-12-28 14:16:57+00:00,26,,,0,2827,72,,Legacy,26,,2827,7 years - 10 years
"1BXZng4dcXDnYNRXRgHqWjzT5RwxHHBSHoBalance:4,900 BTC ($404,321,738) Ins:24 Outs:0",1BXZng4d,4900.0,404321738.0,0.0247,2017-06-13 07:58:25+00:00,2024-12-28 14:16:57+00:00,24,,,0,2827,72,,Legacy,24,,2827,7 years - 10 years
"162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhwwallet: gate.io-coldwalletBalance:4,888 BTC ($403,338,429) Ins:743 Outs:430",162bzZT2,4888.0,403338429.0,0.02464,2022-10-19 04:37:20+00:00,2025-03-10 04:30:21+00:00,743,2022-10-24 04:29:26+00:00,2025-03-10 02:01:47+00:00,430,873,0,0.0,Legacy,313,0.0,0,24hr
"1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXjBalance:4,881 BTC ($402,765,648) Ins:33 Outs:0",1BvNwfxE,4881.0,402765648.0,0.02461,2013-04-25 01:03:29+00:00,2024-12-28 14:16:57+00:00,33,,,0,4337,72,,Legacy,33,,4337,+10 years
"bc1qrjq4tavyrxsg9p50aqmyj60lwx5eg73q5vr7eyBalance:4,873 BTC ($402,093,923) Ins:6 Outs:3",bc1qrjq4,4873.0,402093923.0,0.02457,2024-12-23 13:31:32+00:00,2025-01-29 17:10:31+00:00,6,2024-12-23 15:18:20+00:00,2024-12-23 15:18:20+00:00,3,77,40,77.0,Bech32,3,37.0,77,1 month - 3 months
"1Mq54q43p6iCssCStAQt1gQubPciUfboL2Balance:4,871 BTC ($401,929,545) Ins:191 Outs:165",1Mq54q43,4871.0,401929545.0,0.02456,2021-08-18 04:00:34+00:00,2025-01-27 12:20:43+00:00,191,2021-08-25 15:55:43+00:00,2024-01-24 20:59:52+00:00,165,1300,42,411.0,Legacy,26,369.0,411,1 year - 2 years
"1PPuNHJanckd7a1ddTM8Dpv4TqGF3ZqggKBalance:4,860 BTC ($401,020,882) Ins:2 Outs:0",1PPuNHJa,4860.0,401020882.0,0.0245,2023-07-11 20:15:42+00:00,2024-12-28 14:16:57+00:00,2,,,0,608,72,,Legacy,2,,608,1 year - 2 years
"1PmtxPwpw4s4VBy45HfFwLfKvj3YDbG43wBalance:4,846 BTC ($399,873,370) Ins:3 Outs:0",1PmtxPwp,4846.0,399873370.0,0.02443,2023-06-12 19:39:36+00:00,2024-12-28 14:16:57+00:00,3,,,0,637,72,,Legacy,3,,637,1 year - 2 years
"124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPuBalance:4,838 BTC ($399,242,989) Ins:86 Outs:0",124ixYbT,4838.0,399242989.0,0.02439,2021-02-25 04:01:02+00:00,2025-01-28 07:26:42+00:00,86,,,0,1474,41,,Legacy,86,,1474,3 years - 5 years
"1DFs6ynVroL3Kd86dW8sqWVf6u3W65mqYNBalance:4,838 BTC ($399,183,094) Ins:8 Outs:5",1DFs6ynV,4838.0,399183094.0,0.02439,2024-07-07 17:39:30+00:00,2025-01-27 12:20:43+00:00,8,2024-07-07 17:54:17+00:00,2024-07-07 17:54:17+00:00,5,246,42,246.0,Legacy,3,204.0,246,6 months - 12 months
"17spLhCpZVdQXFz2ZL1aP5gRci6RFVNhrDBalance:4,817 BTC ($397,472,114) Ins:24 Outs:0",17spLhCp,4817.0,397472114.0,0.02429,2018-05-17 15:38:09+00:00,2024-12-29 03:33:55+00:00,24,,,0,2489,71,,Legacy,24,,2489,5 years - 7 years
"3J8HWyAAsa5g8uTod4CNDHCBEs7hesVtQFBalance:4,800 BTC ($396,070,960) Ins:1 Outs:0",3J8HWyAA,4800.0,396070960.0,0.0242,2025-01-20 08:56:55+00:00,2025-01-20 08:56:55+00:00,1,,,0,49,49,,SegWit,1,,49,1 month - 3 months
"1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJmBalance:4,792 BTC ($395,410,285) Ins:33 Outs:0",1Miy5sJZ,4792.0,395410285.0,0.02416,2013-12-21 04:44:50+00:00,2024-12-29 03:33:55+00:00,33,,,0,4097,71,,Legacy,33,,4097,+10 years
