Address,Short Address,BTC,USD Value,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Days Since First In,Days Since Last In,Days Since Last Out,Address Type,Txs Difference,Days Out Minus In,HODL_Days,Age Band
"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($2,021,225,018) Ins:33 Outs:0",17MWdxfj,24495.0,2021225018.0,0.1235,2020-12-13 12:50:54+00:00,2025-01-09 04:13:40+00:00,33,,,0,1548,60,,Legacy,33,,1548,3 years - 5 years
"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,985,877,512) Ins:321 Outs:224",38UmuUqP,24067.0,1985877512.0,0.1213,2016-03-14 22:20:01+00:00,2025-01-27 00:09:24+00:00,321,2016-03-15 17:57:11+00:00,2023-05-25 18:20:29+00:00,224,3283,42,655.0,SegWit,97,613.0,655,1 year - 2 years
"1N7jWmv63mkMdsYzbNUVHbEYDQfcq1u8YpBalance:24,052 BTC ($1,984,622,135) Ins:3 Outs:0",1N7jWmv6,24052.0,1984622135.0,0.1213,2024-12-05 02:45:54+00:00,2024-12-25 12:37:58+00:00,3,,,0,95,75,,Legacy,3,,95,3 months - 6 months
"19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1CBalance:23,969 BTC ($1,977,793,521) Ins:33 Outs:0",19D5J8c5,23969.0,1977793521.0,0.1208,2020-12-13 11:33:04+00:00,2025-01-09 04:13:40+00:00,33,,,0,1548,60,,Legacy,33,,1548,3 years - 5 years
"15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxvBalance:23,375 BTC ($1,928,780,361) Ins:53 Outs:2",15cHRgVr,23375.0,1928780361.0,0.1179,2022-06-16 19:42:33+00:00,2025-01-28 02:55:56+00:00,53,2022-06-18 06:39:06+00:00,2022-06-18 06:39:06+00:00,2,998,41,996.0,Legacy,51,955.0,996,2 years - 3 years
"3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet 30d:+5618 BTCBalance:21,863 BTC ($1,803,997,886) Ins:5414 Outs:5401",3JZq4atU,21863.0,1803997886.0,0.1102,2018-11-02 20:14:44+00:00,2025-02-28 11:53:03+00:00,5414,2018-11-04 16:08:55+00:00,2025-02-26 21:58:21+00:00,5401,2320,10,12.0,SegWit,13,2.0,12,1 week - 1 month
"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:-84.65 BTC / 30d:+370.63 BTCBalance:20,726 BTC ($1,710,209,550) Ins:45771 Outs:44580",bc1qr4dl,20726.0,1710209550.0,0.1045,2022-03-04 09:50:52+00:00,2025-03-10 06:21:57+00:00,45771,2022-03-04 10:15:56+00:00,2025-03-09 16:42:46+00:00,44580,1102,0,1.0,Bech32,1191,1.0,1,24hr
"3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9wallet: 107121673Balance:20,271 BTC ($1,672,695,029) Ins:19 Outs:4",3HfD4pvF,20271.0,1672695029.0,0.1022,2023-01-13 17:52:31+00:00,2025-01-09 04:13:40+00:00,19,2024-01-03 16:49:45+00:00,2025-01-02 17:22:49+00:00,4,787,60,67.0,SegWit,15,7.0,67,1 month - 3 months
"17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRnBalance:20,008 BTC ($1,650,953,081) Ins:85 Outs:1",17rm2dvb,20008.0,1650953081.0,0.1009,2017-03-28 13:59:19+00:00,2025-03-09 21:07:27+00:00,85,2017-03-28 14:04:55+00:00,2017-03-28 14:04:55+00:00,1,2904,1,2904.0,Legacy,84,2903.0,2904,7 years - 10 years
"1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGWBalance:19,414 BTC ($1,601,974,798) Ins:121 Outs:0",1PeizMg7,19414.0,1601974798.0,0.09788,2010-07-24 12:16:11+00:00,2025-01-29 04:30:26+00:00,121,,,0,5343,40,,Legacy,121,,5343,+10 years
"bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf2..6ufnwallet: River 7d:+344.91 BTC / 30d:+1125 BTCBalance:19,376 BTC ($1,598,785,896) Ins:239 Outs:46",bc1qk7fy,19376.0,1598785896.0,0.09769,2023-11-26 22:18:31+00:00,2025-03-09 01:23:17+00:00,239,2023-11-30 08:35:25+00:00,2025-03-05 02:53:55+00:00,46,470,1,5.0,Bech32,193,4.0,5,1 day - 1 week
"bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjt..pd9lwallet: Bitbank-coldwallet 7d:+187.88 BTC / 30d:+311.5 BTCBalance:18,747 BTC ($1,546,931,124) Ins:4375 Outs:4342",bc1qx2x5,18747.0,1546931124.0,0.09452,2022-07-22 06:56:15+00:00,2025-03-10 06:21:57+00:00,4375,2022-07-23 05:13:17+00:00,2025-03-10 00:20:31+00:00,4342,962,0,0.0,Bech32,33,0.0,0,24hr
"bc1qlt5nm3kflne7rht4alsnzdzad878ld5rcu4na0 7d:-172.7 BTC / 30d:+46.75 BTCBalance:17,726 BTC ($1,462,669,435) Ins:5142 Outs:242",bc1qlt5n,17726.0,1462669435.0,0.08937,2024-10-14 02:46:59+00:00,2025-03-10 06:41:26+00:00,5142,2024-10-17 14:20:10+00:00,2025-03-05 14:28:15+00:00,242,147,0,5.0,Bech32,4900,5.0,5,1 day - 1 week
"3FuhQLprN9s9MR3bZzR5da7mw75fuahsaU 7d:+914.5 BTC / 30d:+4634 BTCBalance:17,668 BTC ($1,457,867,674) Ins:524 Outs:10",3FuhQLpr,17668.0,1457867674.0,0.08908,2024-11-22 13:20:41+00:00,2025-03-10 05:55:19+00:00,524,2024-11-22 13:21:32+00:00,2025-01-31 12:26:33+00:00,10,108,0,38.0,SegWit,514,38.0,38,1 month - 3 months
"33Z2C8wLHsVJxoPudpBDHQ9yz4nHCgVseQBalance:16,825 BTC ($1,388,312,583) Ins:1 Outs:0",33Z2C8wL,16825.0,1388312583.0,0.08483,2025-01-25 03:32:47+00:00,2025-01-25 03:32:47+00:00,1,,,0,44,44,,SegWit,1,,44,1 month - 3 months
"34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBPwallet: Binance-coldwalletBalance:16,307 BTC ($1,345,535,622) Ins:24 Outs:0",34HpHYiy,16307.0,1345535622.0,0.08221,2021-10-22 20:49:49+00:00,2025-02-23 12:09:37+00:00,24,,,0,1235,15,,SegWit,24,,1235,3 years - 5 years
"bc1q6qphr80zug3v37xf503a7atzfn3au2fz0dy9ekwallet: 107742608 7d:+135.89 BTC / 30d:-57.77 BTCBalance:16,051 BTC ($1,324,411,458) Ins:32458 Outs:32437",bc1q6qph,16051.0,1324411458.0,0.08092,2024-06-29 00:46:10+00:00,2025-03-10 06:46:15+00:00,32458,2024-08-14 02:12:01+00:00,2025-03-10 06:46:15+00:00,32437,254,0,0.0,Bech32,21,0.0,0,24hr
"bc1q32lyrhp9zpww22phqjwwmelta0c8a5q990ghs6wallet: Ceffu-coldwallet 7d:-1837 BTC / 30d:-1589 BTCBalance:15,911 BTC ($1,312,877,703) Ins:304 Outs:136",bc1q32ly,15911.0,1312877703.0,0.08022,2024-01-10 11:21:01+00:00,2025-03-07 09:47:19+00:00,304,2024-01-18 03:43:32+00:00,2025-03-07 09:47:19+00:00,136,425,3,3.0,Bech32,168,0.0,3,1 day - 1 week
"1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCGBalance:15,746 BTC ($1,299,239,168) Ins:82 Outs:1",1GR9qNz7,15746.0,1299239168.0,0.07939,2018-01-22 17:05:59+00:00,2025-01-09 04:13:40+00:00,82,2018-01-22 22:14:04+00:00,2018-01-22 22:14:04+00:00,1,2604,60,2604.0,Legacy,81,2544.0,2604,7 years - 10 years
"bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3hwallet: Binance-wallet 7d:-2655 BTC / 30d:-2039 BTCBalance:15,614 BTC ($1,288,389,415) Ins:1908203 Outs:1907769",bc1qm34l,15614.0,1288389415.0,0.07872,2021-10-08 07:14:44+00:00,2025-03-10 06:46:15+00:00,1908203,2021-10-12 07:03:37+00:00,2025-03-10 06:46:15+00:00,1907769,1249,0,0.0,Bech32,434,0.0,0,24hr
"bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64wallet: BitMEX 7d:-253.81 BTC / 30d:-648.7 BTCBalance:15,153 BTC ($1,250,304,554) Ins:683 Outs:682",bc1qchct,15153.0,1250304554.0,0.0764,2023-10-31 06:13:50+00:00,2025-03-10 02:28:29+00:00,683,2024-01-26 10:33:19+00:00,2025-03-10 02:28:29+00:00,682,496,0,0.0,Bech32,1,0.0,0,24hr
"1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8 30d:+20.64 BTCBalance:14,572 BTC ($1,202,428,078) Ins:119 Outs:6",1CNtkWbb,14572.0,1202428078.0,0.07347,2023-01-13 05:39:56+00:00,2025-02-26 08:00:00+00:00,119,2023-01-13 05:52:56+00:00,2024-08-09 11:18:44+00:00,6,787,12,213.0,Legacy,113,201.0,213,6 months - 12 months
"bc1q72nyp6mzxjxm02j7t85pg0pq24684zdj2wuweuBalance:13,764 BTC ($1,135,726,216) Ins:4 Outs:3",bc1q72ny,13764.0,1135726216.0,0.0694,2024-12-30 21:19:38+00:00,2025-01-13 22:28:55+00:00,4,2025-01-13 22:28:55+00:00,2025-01-13 22:28:55+00:00,3,70,56,56.0,Bech32,1,0.0,56,1 month - 3 months
"32retgqZViwtgbaJJYDMMVop9J55G3w6cCwallet: Kraken-wallet 7d:+2890 BTC / 30d:+4083 BTCBalance:13,475 BTC ($1,111,895,697) Ins:18328 Outs:17851",32retgqZ,13475.0,1111895697.0,0.06794,2023-02-22 23:00:49+00:00,2025-03-10 06:46:15+00:00,18328,2023-02-23 01:01:24+00:00,2025-03-10 06:02:59+00:00,17851,747,0,0.0,SegWit,477,0.0,0,24hr
